transaction_date,brand_name,outlet_name,year_month,is_weekend,total_orders,total_completed_orders,total_sales,total_promo_orders,total_promo_sales,total_non_promo_orders,total_non_promo_sales,platform_promo_spend,1.Morning_promo_spend,2.Afternoon_promo_spend,3.Evening_promo_spend,4.Late night_promo_spend,Platform A_spend,Platform B_spend,Platform C_spend,no_of_ads,ad_spend,clicks,impressions,reach,cost_per_click
2020-03-09,Pizzeria,Pizzeria - Central,2020-03,False,11.0,11.0,767.1700000000001,0.0,0.0,11.0,767.1700000000001,0.0,,0.0,0.0,,0.0,0.0,,11.0,38.410000000000004,92.0,8029.0,7775.0,0.41750000000000004
2020-03-10,Pizzeria,Pizzeria - Central,2020-03,False,9.0,9.0,431.2,0.0,0.0,9.0,431.2,0.0,0.0,0.0,0.0,,0.0,0.0,,11.0,51.19,101.0,12375.0,11944.0,0.5068316831683168
2020-03-11,Pizzeria,Pizzeria - Central,2020-03,False,7.0,7.0,348.28,0.0,0.0,7.0,348.28,0.0,,0.0,0.0,,0.0,0.0,,11.0,49.629999999999995,100.0,11418.0,11007.0,0.49629999999999996
2020-03-12,Pizzeria,Pizzeria - Central,2020-03,False,8.0,8.0,338.64,0.0,0.0,8.0,338.64,0.0,0.0,0.0,0.0,,0.0,0.0,,11.0,46.83,91.0,8956.0,8702.0,0.5146153846153846
2020-03-13,Pizzeria,Pizzeria - Central,2020-03,False,2.0,2.0,81.32,0.0,0.0,2.0,81.32,0.0,,0.0,0.0,,0.0,,,13.0,48.15,65.0,7490.0,7307.0,0.7407692307692307
2020-03-14,Pizzeria,Pizzeria - Central,2020-03,True,4.0,4.0,276.59000000000003,0.0,0.0,4.0,276.59000000000003,0.0,,0.0,,,0.0,0.0,,13.0,50.62,93.0,11583.0,11300.0,0.5443010752688172
2020-03-15,Pizzeria,Pizzeria - Central,2020-03,True,10.0,10.0,490.5899999999999,0.0,0.0,10.0,490.5899999999999,0.0,0.0,0.0,0.0,,0.0,0.0,,13.0,49.81,96.0,10953.0,10596.0,0.5188541666666667
2020-03-16,Pizzeria,Pizzeria - Central,2020-03,False,4.0,4.0,220.42000000000002,0.0,0.0,4.0,220.42000000000002,0.0,,0.0,0.0,,0.0,,,13.0,51.08,90.0,9375.0,9052.0,0.5675555555555556
2020-03-17,Pizzeria,Pizzeria - Central,2020-03,False,13.0,13.0,701.9000000000001,1.0,120.37,12.0,581.5300000000001,16.87,,0.0,5.623333333333334,,0.0,8.435,,13.0,51.56,104.0,11385.0,10999.0,0.4957692307692308
2020-03-18,Pizzeria,Pizzeria - Central,2020-03,False,3.0,3.0,142.31,0.0,0.0,3.0,142.31,0.0,,0.0,,,0.0,0.0,,13.0,50.60999999999999,100.0,12054.0,11611.0,0.5060999999999999
2020-03-19,Pizzeria,Pizzeria - Central,2020-03,False,5.0,5.0,319.93000000000006,0.0,0.0,5.0,319.93000000000006,0.0,0.0,0.0,,,0.0,,,13.0,50.879999999999995,118.0,10400.0,10029.0,0.4311864406779661
2020-03-20,Pizzeria,Pizzeria - Central,2020-03,False,6.0,6.0,333.82000000000005,0.0,0.0,6.0,333.82000000000005,0.0,,0.0,0.0,,0.0,0.0,,13.0,43.14,77.0,9168.0,8852.0,0.5602597402597402
2020-03-21,Pizzeria,Pizzeria - Central,2020-03,True,6.0,6.0,278.2,0.0,0.0,6.0,278.2,0.0,0.0,0.0,0.0,,0.0,0.0,,13.0,18.2,35.0,3957.0,3813.0,0.52
2020-03-22,Pizzeria,Pizzeria - Central,2020-03,True,16.0,16.0,1098.87,2.0,214.0,14.0,884.87,30.0,,3.75,0.0,,0.0,5.0,,8.0,17.53,46.0,3294.0,3153.0,0.38108695652173913
2020-03-23,Pizzeria,Pizzeria - Central,2020-03,False,11.0,10.0,623.79,0.0,0.0,10.0,623.79,0.0,0.0,0.0,0.0,,0.0,,,8.0,18.41,51.0,3424.0,3278.0,0.36098039215686273
2020-03-24,Pizzeria,Pizzeria - Central,2020-03,False,7.0,7.0,352.03,0.0,0.0,7.0,352.03,0.0,,0.0,0.0,,0.0,0.0,,9.0,19.03,54.0,3318.0,3167.0,0.35240740740740745
2020-03-25,Pizzeria,Pizzeria - Central,2020-03,False,9.0,9.0,805.1600000000001,1.0,22.47,8.0,782.69,3.15,3.15,0.0,0.0,,0.0,3.15,,9.0,28.080000000000002,64.0,5760.0,5439.0,0.43875000000000003
2020-03-26,Pizzeria,Pizzeria - Central,2020-03,False,2.0,2.0,143.37,0.0,0.0,2.0,143.37,0.0,,0.0,0.0,,0.0,0.0,,9.0,28.229999999999997,62.0,5475.0,5273.0,0.45532258064516123
2020-03-27,Pizzeria,Pizzeria - Central,2020-03,False,11.0,11.0,578.83,0.0,0.0,11.0,578.83,0.0,0.0,0.0,0.0,,0.0,0.0,,9.0,37.31,87.0,7995.0,7691.0,0.4288505747126437
2020-03-28,Pizzeria,Pizzeria - Central,2020-03,True,3.0,3.0,223.09,1.0,80.25,2.0,142.84,11.25,,3.75,,,0.0,11.25,,9.0,37.39,53.0,7219.0,6870.0,0.7054716981132075
2020-03-29,Pizzeria,Pizzeria - Central,2020-03,True,11.0,11.0,581.0,0.0,0.0,11.0,581.0,0.0,0.0,0.0,0.0,,0.0,0.0,,9.0,37.540000000000006,60.0,6548.0,6255.0,0.6256666666666668
2020-03-31,Pizzeria,Pizzeria - Central,2020-03,False,10.0,10.0,564.94,0.0,0.0,10.0,564.94,0.0,0.0,0.0,0.0,,0.0,0.0,,9.0,31.060000000000002,55.0,5998.0,5722.0,0.5647272727272727
2020-04-01,Pizzeria,Pizzeria - Central,2020-04,False,6.0,6.0,289.97,0.0,0.0,6.0,289.97,0.0,0.0,0.0,0.0,,0.0,,,9.0,28.36,52.0,5296.0,5051.0,0.5453846153846154
2020-04-02,Pizzeria,Pizzeria - Central,2020-04,False,9.0,9.0,563.88,0.0,0.0,9.0,563.88,0.0,0.0,0.0,0.0,,0.0,0.0,,9.0,23.98,56.0,5340.0,5188.0,0.4282142857142857
2020-04-03,Pizzeria,Pizzeria - Central,2020-04,False,5.0,5.0,267.5,1.0,103.79,4.0,163.71,14.55,14.55,,0.0,,0.0,7.275,,7.0,18.34,46.0,4450.0,4306.0,0.39869565217391306
2020-04-04,Pizzeria,Pizzeria - Central,2020-04,True,5.0,5.0,294.25,1.0,60.99,4.0,233.26,8.55,0.0,4.275,0.0,,0.0,8.55,,5.0,16.62,38.0,4188.0,4024.0,0.43736842105263163
2020-04-05,Pizzeria,Pizzeria - Central,2020-04,True,12.0,12.0,739.3500000000001,3.0,163.17000000000002,9.0,576.1800000000001,22.87,4.05,1.4425,3.0,,0.0,5.7175,,5.0,16.9,48.0,4891.0,4750.0,0.3520833333333333
2020-04-06,Pizzeria,Pizzeria - Central,2020-04,False,9.0,9.0,459.56,0.0,0.0,9.0,459.56,0.0,,0.0,0.0,,0.0,0.0,,7.0,17.39,34.0,4349.0,4253.0,0.5114705882352941
2020-04-07,Pizzeria,Pizzeria - Central,2020-04,False,10.0,10.0,464.36,1.0,33.17,9.0,431.19,4.65,0.0,2.325,0.0,,0.0,2.325,,9.0,23.099999999999998,63.0,5523.0,5352.0,0.36666666666666664
2020-04-08,Pizzeria,Pizzeria - Central,2020-04,False,5.0,5.0,245.03,0.0,0.0,5.0,245.03,0.0,,0.0,0.0,,0.0,0.0,,5.0,18.07,34.0,3873.0,3749.0,0.5314705882352941
2020-04-09,Pizzeria,Pizzeria - Central,2020-04,False,8.0,8.0,279.26,0.0,0.0,8.0,279.26,0.0,0.0,0.0,0.0,,0.0,0.0,,5.0,38.28,74.0,7730.0,7385.0,0.5172972972972973
2020-04-10,Pizzeria,Pizzeria - Central,2020-04,False,2.0,2.0,117.69,0.0,0.0,2.0,117.69,0.0,,0.0,0.0,,0.0,,,5.0,39.19,63.0,7178.0,6854.0,0.622063492063492
2020-04-11,Pizzeria,Pizzeria - Central,2020-04,True,7.0,7.0,578.86,0.0,0.0,7.0,578.86,0.0,0.0,0.0,0.0,,0.0,0.0,,5.0,39.099999999999994,64.0,6621.0,6346.0,0.6109374999999999
2020-04-12,Pizzeria,Pizzeria - Central,2020-04,True,14.0,14.0,889.6999999999999,0.0,0.0,14.0,889.6999999999999,0.0,,0.0,0.0,,0.0,0.0,,5.0,38.83,51.0,6265.0,6031.0,0.7613725490196078
2020-04-13,Pizzeria,Pizzeria - Central,2020-04,False,10.0,9.0,596.5100000000001,1.0,64.2,8.0,532.3100000000001,9.0,0.0,2.25,0.0,,0.0,9.0,,5.0,39.61,54.0,5794.0,5553.0,0.7335185185185185
2020-04-14,Pizzeria,Pizzeria - Central,2020-04,False,12.0,12.0,493.25,2.0,54.57,10.0,438.68,7.65,0.0,1.092857142857143,0.0,,0.0,2.5500000000000003,,5.0,39.23,69.0,7728.0,7531.0,0.5685507246376811
2020-04-15,Pizzeria,Pizzeria - Central,2020-04,False,6.0,6.0,403.9,0.0,0.0,6.0,403.9,0.0,0.0,0.0,0.0,,0.0,0.0,,5.0,41.39,68.0,8006.0,7630.0,0.6086764705882353
2020-04-16,Pizzeria,Pizzeria - Central,2020-04,False,2.0,2.0,94.16,0.0,0.0,2.0,94.16,0.0,,0.0,,,0.0,,,5.0,41.28,75.0,6430.0,6064.0,0.5504
2020-04-17,Pizzeria,Pizzeria - Central,2020-04,False,8.0,8.0,379.3,0.0,0.0,8.0,379.3,0.0,0.0,0.0,0.0,,0.0,0.0,,5.0,45.18000000000001,83.0,8352.0,7936.0,0.5443373493975905
2020-04-18,Pizzeria,Pizzeria - Central,2020-04,True,12.0,12.0,808.8999999999999,0.0,0.0,12.0,808.8999999999999,0.0,0.0,0.0,0.0,,0.0,0.0,,5.0,46.83,80.0,8444.0,8035.0,0.585375
2020-04-19,Pizzeria,Pizzeria - Central,2020-04,True,12.0,12.0,1324.59,1.0,43.87,11.0,1280.72,6.15,0.0,1.23,0.0,,0.0,3.075,,5.0,45.4,69.0,6100.0,5802.0,0.6579710144927536
2020-04-20,Pizzeria,Pizzeria - Central,2020-04,False,6.0,6.0,439.22,0.0,0.0,6.0,439.22,0.0,,0.0,0.0,,0.0,0.0,,5.0,48.71000000000001,69.0,5596.0,5200.0,0.7059420289855074
2020-04-21,Pizzeria,Pizzeria - Central,2020-04,False,16.0,16.0,720.6300000000001,0.0,0.0,16.0,720.6300000000001,0.0,0.0,0.0,0.0,,0.0,0.0,,5.0,43.73,78.0,5413.0,5046.0,0.5606410256410256
2020-04-22,Pizzeria,Pizzeria - Central,2020-04,False,8.0,8.0,448.28,0.0,0.0,8.0,448.28,0.0,,0.0,0.0,,0.0,0.0,,5.0,47.8,97.0,6842.0,6289.0,0.49278350515463915
2020-04-23,Pizzeria,Pizzeria - Central,2020-04,False,6.0,6.0,295.31,0.0,0.0,6.0,295.31,0.0,,0.0,0.0,,0.0,,,5.0,40.03,65.0,4937.0,4587.0,0.6158461538461538
