transaction_date,brand_name,outlet_name,no_of_ads,ad_spend,clicks,impressions,reach,year_month
2020-02-07,The Brunch Place,The Brunch Place - Central,3,38.82,115.0,8444.0,7381.0,2020-02
2020-02-08,Louvré,Louvré,1,4.68,19.0,893.0,754.0,2020-02
2020-02-08,Pizzeria,Pizzeria - Central,5,45.77,96.0,10571.0,9800.0,2020-02
2020-02-08,The Brunch Place,The Brunch Place - Central,4,47.98,153.0,10648.0,9648.0,2020-02
2020-02-09,Louvré,Louvré,1,4.96,17.0,811.0,705.0,2020-02
2020-02-09,Pizzeria,Pizzeria - Central,5,45.339999999999996,75.0,10794.0,10038.0,2020-02
2020-02-09,The Brunch Place,The Brunch Place - Central,3,26.16,88.0,5659.0,5150.0,2020-02
2020-02-10,Louvré,Louvré,1,1.46,9.0,173.0,166.0,2020-02
2020-02-10,Pizzeria,Pizzeria - Central,5,45.93,74.0,10525.0,9947.0,2020-02
2020-02-10,The Brunch Place,The Brunch Place - Central,1,15.35,52.0,3744.0,3548.0,2020-02
2020-02-11,Pizzeria,Pizzeria - Central,5,45.64,97.0,11809.0,11110.0,2020-02
2020-02-11,The Brunch Place,The Brunch Place - Central,1,1.69,5.0,515.0,511.0,2020-02
2020-02-12,Pizzeria,Pizzeria - Central,5,44.730000000000004,109.0,12059.0,11230.0,2020-02
2020-02-12,The Beach,The Beach,1,2.56,59.0,477.0,432.0,2020-02
2020-02-12,The Brunch Place,The Brunch Place - Central,1,2.2,14.0,658.0,620.0,2020-02
2020-02-13,Pizzeria,Pizzeria - Central,5,43.83,86.0,9848.0,9321.0,2020-02
2020-02-13,The Beach,The Beach,1,5.78,153.0,1315.0,1015.0,2020-02
2020-02-13,The Brunch Place,The Brunch Place - Central,3,14.26,81.0,4429.0,4039.0,2020-02
2020-02-14,Pizzeria,Pizzeria - Central,9,39.25,67.0,7745.0,7530.0,2020-02
2020-02-14,The Beach,The Beach,1,6.14,147.0,1191.0,1118.0,2020-02
2020-02-14,The Brunch Place,The Brunch Place - Central,3,21.009999999999998,95.0,6097.0,5529.0,2020-02
2020-02-15,Pizzeria,Pizzeria - Central,5,37.37,127.0,9870.0,9629.0,2020-02
2020-02-15,The Beach,The Beach,1,6.07,135.0,1404.0,1322.0,2020-02
2020-02-15,The Brunch Place,The Brunch Place - Central,5,25.73,113.0,6821.0,6206.0,2020-02
2020-02-16,Pizzeria,Pizzeria - Central,5,37.910000000000004,146.0,12531.0,12308.0,2020-02
2020-02-16,The Beach,The Beach,1,6.24,123.0,1382.0,1300.0,2020-02
2020-02-16,The Brunch Place,The Brunch Place - Central,5,29.59,121.0,6012.0,5279.0,2020-02
2020-02-17,Pizzeria,Pizzeria - Central,5,39.89,116.0,12117.0,11947.0,2020-02
2020-02-17,The Beach,The Beach,1,3.21,42.0,609.0,602.0,2020-02
2020-02-17,The Brunch Place,The Brunch Place - Central,4,26.45,127.0,4962.0,4165.0,2020-02
2020-02-18,Pizzeria,Pizzeria - Central,5,37.45,137.0,11190.0,11024.0,2020-02
2020-02-18,The Brunch Place,The Brunch Place - Central,4,27.590000000000003,126.0,5644.0,4788.0,2020-02
2020-02-19,Pizzeria,Pizzeria - Central,5,33.98,172.0,12712.0,12473.0,2020-02
2020-02-19,The Beach,The Beach,1,2.36,19.0,376.0,321.0,2020-02
2020-02-19,The Brunch Place,The Brunch Place - Central,4,26.03,105.0,5657.0,4729.0,2020-02
2020-02-20,Louvré,Louvré,1,6.69,159.0,1788.0,1728.0,2020-02
